event_id,station,selected_rank,network,component_trace_count,station_lat,station_lon
ci38038071,BFS,1,CI,6,34.239,-117.659
ci38038071,BHP,2,CI,3,33.99053,-118.36173
ci38038071,BLC,3,CI,3,34.24356,-118.67312
ci38038071,BRE,4,CI,6,33.808,-117.981
ci38038071,CHN,5,CI,6,33.999,-117.68
ci38038071,CJM,6,CI,6,34.271,-117.424
ci38038071,CRF,7,CI,3,33.874,-118.039
ci38038071,CRN,8,CI,3,33.876,-117.561
ci38038071,DEC,9,CI,3,34.25353,-118.33383
ci38038071,DJJ,10,CI,3,34.10618,-118.45505
ci38038071,DLA,11,CI,6,33.848,-118.096
ci38038071,ELS2,12,CI,3,33.64907,-117.42604
ci38038071,FMP,13,CI,3,33.71264,-118.29381
ci38038071,FON,14,CI,3,34.1,-117.439
ci38038071,GOU,15,CI,3,34.221,-118.188
ci38038071,GR2,16,CI,3,34.11816,-118.30024
ci38038071,GSA,17,CI,3,34.137,-118.128
ci38038071,IVY,18,CI,3,33.76,-117.477
ci38038071,LAF,19,CI,3,33.86889,-118.33143
ci38038071,LBW1,20,CI,3,33.798,-118.088
ci38038071,LCG,21,CI,3,34.00033,-118.37794
ci38038071,LGB,22,CI,6,33.975,-118.149
ci38038071,LLS,23,CI,3,33.68447,-117.94304
ci38038071,LMH,24,CI,6,33.744,-117.391
ci38038071,LMS,25,CI,6,33.817,-117.445
ci38038071,LTP,26,CI,6,33.881,-118.176
ci38038071,MLS,27,CI,6,34.005,-117.562
ci38038071,MWC,28,CI,6,34.224,-118.058
ci38038071,OLI,29,CI,6,33.945,-117.924
ci38038071,PASC,30,CI,3,34.17141,-118.18523
ci38695658,BFS,1,CI,3,34.239,-117.659
ci38695658,BHP,2,CI,3,33.991,-118.362
ci38695658,BLC,3,CI,3,34.244,-118.673
ci38695658,BRE,4,CI,3,33.808,-117.981
ci38695658,CAC,5,CI,3,34.137,-118.122
ci38695658,CHN,6,CI,3,33.999,-117.68
ci38695658,CJM,7,CI,3,34.271,-117.424
ci38695658,CRF,8,CI,3,33.874,-118.039
ci38695658,CWP,9,CI,3,33.558,-117.558
ci38695658,DEC,10,CI,3,34.254,-118.334
ci38695658,DJJ,11,CI,3,34.106,-118.455
ci38695658,DLA,12,CI,3,33.848,-118.096
ci38695658,ELS2,13,CI,3,33.649,-117.426
ci38695658,FMP,14,CI,6,33.713,-118.294
ci38695658,FON,15,CI,3,34.1,-117.439
ci38695658,FUL,16,CI,3,33.872,-117.923
ci38695658,GOU,17,CI,3,34.221,-118.188
ci38695658,GVR,18,CI,3,34.05,-118.12
ci38695658,HLL,19,CI,3,34.176,-118.36
ci38695658,IVY,20,CI,3,33.76,-117.477
ci38695658,JPLS,21,CI,3,34.205,-118.174
ci38695658,KIK,22,CI,3,34.15,-118.102
ci38695658,KML,23,CI,3,33.597,-117.879
ci38695658,LAF,24,CI,3,33.869,-118.331
ci38695658,LBW1,25,CI,3,33.798,-118.088
ci38695658,LBW2,26,CI,3,33.798,-118.088
ci38695658,LCG,27,CI,3,34.0,-118.378
ci38695658,LGB,28,CI,3,33.975,-118.149
ci38695658,LLS,29,CI,3,33.684,-117.943
ci38695658,LMH,30,CI,3,33.744,-117.391
ci39756418,BFS,1,CI,6,34.239,-117.659
ci39756418,BHP,2,CI,3,33.991,-118.362
ci39756418,BRE,3,CI,3,33.808,-117.981
ci39756418,CAC,4,CI,3,34.137,-118.122
ci39756418,CHL,5,CI,3,33.911,-117.684
ci39756418,CHN,6,CI,3,33.999,-117.68
ci39756418,CJM,7,CI,3,34.271,-117.424
ci39756418,CRN,8,CI,3,33.876,-117.561
ci39756418,DEC,9,CI,6,34.254,-118.334
ci39756418,DJJ,10,CI,3,34.10618,-118.45505
ci39756418,DLA,11,CI,3,33.848,-118.096
ci39756418,ELS2,12,CI,3,33.649,-117.426
ci39756418,FMP,13,CI,3,33.71264,-118.29381
ci39756418,FON,14,CI,3,34.1,-117.439
ci39756418,FUL,15,CI,3,33.872,-117.923
ci39756418,GOU,16,CI,3,34.221,-118.188
ci39756418,GSA,17,CI,3,34.137,-118.128
ci39756418,GVR,18,CI,3,34.05,-118.12
ci39756418,HLL,19,CI,3,34.176,-118.36
ci39756418,JPLS,20,CI,3,34.205,-118.174
ci39756418,KIK,21,CI,3,34.15,-118.102
ci39756418,LAF,22,CI,3,33.869,-118.331
ci39756418,LBW1,23,CI,3,33.798,-118.088
ci39756418,LBW2,24,CI,3,33.798,-118.088
ci39756418,LGB,25,CI,3,33.975,-118.149
ci39756418,LLS,26,CI,3,33.684,-117.943
ci39756418,LMH,27,CI,3,33.744,-117.391
ci39756418,LMS,28,CI,3,33.817,-117.445
ci39756418,LTP,29,CI,3,33.881,-118.176
ci39756418,MLS,30,CI,3,34.005,-117.562
ci39812319,BFS,1,CI,3,34.23883,-117.65853
ci39812319,BHP,2,CI,6,33.991,-118.362
ci39812319,BLC,3,CI,6,34.244,-118.673
ci39812319,BRE,4,CI,6,33.808,-117.981
ci39812319,CAC,5,CI,3,34.137,-118.122
ci39812319,CHN,6,CI,6,33.999,-117.68
ci39812319,CRF,7,CI,3,33.874,-118.039
ci39812319,CRN,8,CI,3,33.876,-117.561
ci39812319,CSP,9,WR,3,34.297973,-117.358326
ci39812319,CWP,10,CI,3,33.5579755,-117.5577503
ci39812319,DEC,11,CI,6,34.254,-118.334
ci39812319,DJJ,12,CI,6,34.106,-118.455
ci39812319,DLA,13,CI,6,33.848,-118.096
ci39812319,ELS2,14,CI,3,33.64907,-117.42604
ci39812319,FMP,15,CI,6,33.713,-118.294
ci39812319,FON,16,CI,3,34.1,-117.439
ci39812319,FUL,17,CI,3,33.872,-117.923
ci39812319,GOU,18,CI,3,34.221,-118.188
ci39812319,GR2,19,CI,3,34.11816,-118.30024
ci39812319,GSA,20,CI,3,34.137,-118.128
ci39812319,GVR,21,CI,3,34.05,-118.12
ci39812319,HLL,22,CI,6,34.176,-118.36
ci39812319,IVY,23,CI,3,33.76,-117.477
ci39812319,JPLS,24,CI,6,34.205,-118.174
ci39812319,KIK,25,CI,3,34.15,-118.102
ci39812319,KML,26,CI,3,33.597,-117.879
ci39812319,LAF,27,CI,6,33.869,-118.331
ci39812319,LBW1,28,CI,3,33.798,-118.088
ci39812319,LBW2,29,CI,3,33.798,-118.088
ci39812319,LCG,30,CI,6,34.0,-118.378
ci40699207,BHP,1,CI,3,33.991,-118.362
ci40699207,BLC,2,CI,3,34.244,-118.673
ci40699207,BRE,3,CI,3,33.808,-117.981
ci40699207,CAC,4,CI,3,34.137,-118.122
ci40699207,CCT,5,CI,3,33.896,-117.415
ci40699207,CHL,6,CI,3,33.911,-117.684
ci40699207,CHN,7,CI,3,33.999,-117.68
ci40699207,CJM,8,CI,3,34.271,-117.424
ci40699207,CRN,9,CI,3,33.876,-117.561
ci40699207,DEC,10,CI,6,34.254,-118.334
ci40699207,DJJ,11,CI,6,34.106,-118.455
ci40699207,DLA,12,CI,3,33.848,-118.096
ci40699207,ELS2,13,CI,3,33.649,-117.426
ci40699207,FMP,14,CI,6,33.713,-118.294
ci40699207,FON,15,CI,3,34.1,-117.439
ci40699207,FUL,16,CI,3,33.872,-117.923
ci40699207,GOU,17,CI,3,34.221,-118.188
ci40699207,GR2,18,CI,3,34.118,-118.3
ci40699207,GSA,19,CI,3,34.13677,-118.1283
ci40699207,GVR,20,CI,3,34.05,-118.12
ci40699207,HLL,21,CI,3,34.176,-118.36
ci40699207,IVY,22,CI,3,33.76,-117.477
ci40699207,JPLS,23,CI,3,34.205,-118.174
ci40699207,KIK,24,CI,3,34.15,-118.102
ci40699207,LAF,25,CI,3,33.869,-118.331
ci40699207,LBW1,26,CI,3,33.798,-118.088
ci40699207,LBW2,27,CI,3,33.798,-118.08837
ci40699207,LCG,28,CI,3,34.0,-118.378
ci40699207,LGB,29,CI,3,33.975,-118.149
ci40699207,LLS,30,CI,3,33.684,-117.943
